Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
SUBIMU,-0.043053630691523,-5.71803591742428E-05,-0.0149671335881846,0,0,0,0.00815089036949717,1.86185873080522E-06,-1.05851486790786E-08,-1.32703326102464E-08,2.84200140417009E-06,1.15204506127833E-09,3.86491538227816E-06,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/SUBIMU.STL,0.729411764705882,0.356862745098039,0.0235294117647059,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/SUBIMU.STL,,IMU_MOUNT_ASSEMBLY-1/Mk5 MTi-100 Encased.STEP-1/Mk5 Housing 100_R6.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
BackRightRot,-6.30598891491492E-05,-0.000559001883101151,-0.00392932370300675,0,0,0,0.195230325604792,0.000131503507857133,-9.10313881834902E-08,1.31229542669041E-07,0.000127467950504028,-1.48259832426794E-07,0.000181957111640819,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackRightRot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackRightRot.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-21,Origin_BackRightRot,Axis_BackRightRot,BackRightRot,fixed,0.35605466541527,0.217685799140885,0,0.78539816339746,1.5707963267949,0,SUBIMU,0,0,0,,,,,,,,,,,,
BackLeftRot,-6.30598820396315E-05,-0.000559001882158738,-0.00392932369986213,0,0,0,0.195230325577517,0.000131503505334058,-9.10313612188179E-08,1.31231048268483E-07,0.000127467947171578,-1.48259783236717E-07,0.000181957110899158,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackLeftRot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackLeftRot.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-5,Origin_BackLeftRot,Axis_BackLeftRot,BackLeftRot,fixed,0.35605466541527,-0.217685799140885,0,0.78539816339746,-1.5707963267949,0,SUBIMU,0,0,0,,,,,,,,,,,,
BackRightTrans,-4.71370432362228E-05,-0.000559014000157093,-0.00392904358719256,0,0,0,0.195230948292488,0.000131504950870113,-6.72559169501985E-08,1.20065677698266E-07,0.000127469906115849,-1.48282086735815E-07,0.000181958313591802,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackRightTrans.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackRightTrans.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-4,Origin_BackRightTrans,Axis_BackRightTrans,BackRightTrans,fixed,0.149225000000041,-0.217782999999873,0.00527677662225163,-3.14159265358979,0,0,SUBIMU,0,0,0,,,,,,,,,,,,
BackLeftTrans,-4.71369447391512E-05,-0.000559013999036406,-0.00392904353259318,0,0,0,0.195230947507227,0.000131504946406324,-6.72558371856149E-08,1.20069454700135E-07,0.000127469899582876,-1.48281948172909E-07,0.00018195831182506,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackLeftTrans.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/BackLeftTrans.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-20,Origin_BackLeftTrans,Axis_BackLeftTrans,BackLeftTrans,fixed,0.149225000000016,0.217782999999911,0.00116959162911101,-3.14159265358979,0,-3.14159265358979,SUBIMU,0,0,0,,,,,,,,,,,,
FrontRightTrans,-4.71379485373347E-05,-0.000559013204961961,-0.00392904574582392,0,0,0,0.195230957671926,0.000131504947651116,-6.72527516406755E-08,1.20063128695944E-07,0.000127469904956705,-1.48280712406436E-07,0.000181958314686654,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontRightTrans.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontRightTrans.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-19,Origin_FrontRightTrans,Axis_FrontRightTrans,FrontRightTrans,fixed,-0.328294999999976,0.217782999999904,0.00116959162911105,-3.14159265358979,0,-3.14159265358979,SUBIMU,0,0,0,,,,,,,,,,,,
FrontLeftTrans,-4.71370315740516E-05,-0.000559014058237856,-0.0039290435279975,0,0,0,0.195230947154214,0.000131504943306024,-6.72558522903082E-08,1.200686162358E-07,0.000127469897938025,-1.48281990901642E-07,0.000181958310975885,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontLeftTrans.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontLeftTrans.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-3,Origin_FrontLeftTrans,Axis_FrontLeftTrans,FrontLeftTrans,fixed,-0.328319999999978,-0.21778299999987,0.00525177662225174,-3.14159265358979,0,0,SUBIMU,0,0,0,,,,,,,,,,,,
FrontRightRot,-6.30597650910555E-05,-0.000559002058603153,-0.003929323707342,0,0,0,0.195230325989809,0.000131503514555615,-9.10315606300112E-08,1.31234686351263E-07,0.000127467960415111,-1.48259681788821E-07,0.000181957113431569,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontRightRot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontRightRot.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-18,Origin_FrontRightRot,Axis_FrontRightRot,FrontRightRot,fixed,-0.535124665415234,0.217685799140885,0,2.35619449019234,-1.5707963267949,0,SUBIMU,0,0,0,,,,,,,,,,,,
FrontLeftRot,-6.30617067770279E-05,-0.000559001164033956,-0.00392932023421219,0,0,0,0.195230301385542,0.000131503504770412,-9.10339534600266E-08,1.31227254605225E-07,0.000127467947581963,-1.48256853747668E-07,0.000181957107335063,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontLeftRot.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/FrontLeftRot.STL,,A_2000 - Chassis Assembly-1/P_2216-Thruster-2,Origin_FrontLeftRot,Axis_FrontLeftRot,FrontLeftRot,fixed,-0.535124665415234,-0.217685799140885,0,2.35619449019234,1.5707963267949,0,SUBIMU,0,0,0,,,,,,,,,,,,
CameraFront,0.00314080916969667,2.60769230802617E-06,0.00118146392277901,0,0,0,0.0568757425592383,7.45887901783756E-05,4.65827341369558E-10,-8.26720204026998E-07,7.42416764055103E-05,1.75228155651221E-10,5.52311581674379E-06,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/CameraFront.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://A_0000 - TAUV2020 Vehicle Assembly.SLDASM/meshes/CameraFront.STL,,A_1000 - Central Hull Assy-1/A_1400 - Compute Electronics Package-1/zedmini_camera-1,Origin_CameraFront,Axis_CameraFront,CameraFront,fixed,-0.49652961051505,0,0,1.5707963267949,0,-3.14159265358979,SUBIMU,0,0,0,,,,,,,,,,,,
